แก gaaeM he
แก่ gaaeL old
กรอก graawkL n shape
หาก if
หาด beach
กาม gaamM n sexual-desire
หาร haanR v divide
สรร sanR v choose
พร paawnM n blessing
ดำ damM black
ทา taaM apply
ที tiiM turn
พอ paawM j enough
พ่อ paawF n father
พา paaM bring
พี่ piiF n older-sibling
มี miiM v have
แม่ maaeF n mother
มา maaM v come
รำ ramM dance
ท่อ taawF n duct
สี่ siiL j four
หมอ maawR n doctor
หมา maaR dog
หมี miiR bear
สี siiR color
แดด daaetL sunlight
ดอก daawkL n flower
ทอด taawtF v deep-fry
พวก puakF group
การ gaanM state-of
มีด miitF knife
แมว maaeoM cat
ร่ม romF umbrella
รวม ruamM combine
ร่วม ruamF share
ราว raaoM handrail
แรก raaekF first
ราก raakF n root
สาม saamR n three
สม somR worthy
สวม suamR wear
ห่ม homL cover
หมวก muakL hat
หมอก maawkL n fog
อวด uatL v boast
ออก aawkL n exit
ออม aawmM v save
ดม domM v smell
มด motH n ant
แรม raaemM n period
มาก maakF j much
อก okL n chest
อด otL v abstain
กร gaawnM n worker

กว่า	more-than
กา	construct
อีก	again
หก	six
ดาว	star
กี่	how many?
ดี	good
ว่า	tell
หา	find
สด	fresh
สาว	girl
ก่อ	worker
ทำ	make
กรม	department
ที่	at
หมด	finished
