psql -U voyccom_jhagstrand -d voyccom_mai -c "select id, thai, eng, details from  mai.thaidict where type = 'o' and eng = '' order by level;" >sql/onoeng.out

  id  | thai  | eng |                                                                                                                        details                                                                                                                         
  413 | เช่น   |     | example; sample; specimen
  536 | ถูก    |     | [a verb particle reflecting passive voice]
  634 | น่า    |     | [a prefix to a verb or adjective to indicate a persistent state or greater intensity of description] extremely; very; intensely; entrenched; really
  655 | แน่น   |     | [is] tight; firm; secure
  758 | เผย   |     | to open; to disclose; to discover; to unveil; to uncover; to reveal
  685 | บุญ    |     | holy; virtuous; pure; sacred
  692 | เบี้ย   |     | a counter used in gambling
  691 | เบี้ย   |     | a small amount of money
  698 | ใบ    |     | paper; sheet; card; ticket; document; blade
  730 | ป่า    |     | forest; woods; jungle; wild
  333 | จน    |     | [most commonly used term] [is] poor; penniless; having nothing; impoverished
  751 | ผ้า    |     | cloth; material; fabric
  755 | ผี     |     | ghost; spirit
  336 | จม    |     | to sink; drown; submerge
  760 | แผ่    |     | expand; spread out
  768 | ฝา    |     | lid or cover of a pot or bowl; cap
  775 | พ้น    |     | in the clear; safe from
 1012 | ละ    |     | [a particle used at the end of a statement or question to add an imperative quality]; alternate ล่ะ, แหละ, หละ, เออะ, แหล่, เล่า, หล้า, เหล้า
 1148 | สืบ    |     | to succeed; to pass on to another; to continue; to advance
 1197 | หมู่    |     | Moo [part of a street address in Thailand]; neighborhood; block
 1218 | หัด    |     | measles; rubseola, a highly contageous skin disease
  343 | จัง    |     | greatly; extremely; truly; fully; quite; most; very much so
  294 | ควร   |     | [auxiliary verb indicating] should; ought to; must
 1205 | หลวง  |     | state (pertaining to the government)
  348 | จับ    |     | to arrest; catch; get a hold of; touch; capture; seize
  526 | ไต่    |     | to climb; to scale (a mountain); to move up slowly and carefully
 1230 | ให้    |     | to give; to let; to send to; to allow; to convey towards; to pay (attention); to have someone do something
  350 | จ้าง   |     | to hire; engage; employ
  351 | จ่าย   |     | to spend; purchase; shop; disburse money; pay
  360 | จูบ    |     | to kiss
  248 | ขาด   |     | to lack; need
  784 | พระ   |     | [a title or prefix word used with a most revered person, place, or object] royal
  367 | แจง   |     | an explanation
  368 | แจ้ง   |     | to notify; advise; inform; make apparent
  369 | แจ่ม   |     | clear; bright; distinct; cheerful
  379 | ไฉน   |     | why; wherefore
  412 | เช่น   |     | similar to; same as; such as; for example; for instance; like; e.g.
  385 | ชม    |     | to admire; compliment; praise; commend; extol; flatter; pay tribute to; salute; speak highly of
  743 | แปลง  |     | to convert; modify; adapt
  387 | ชวน   |     | to persuade; to induce; to urge; to invite; to ask; to influence; to prevail upon; to agree
  391 | ชัก    |     | to pull at; to discount; draw; take away; withdraw; to pull upon
  392 | ชัด    |     | [is] sharp; clear; focused; concise
  393 | ชั้น    |     | class; rank; grade
  400 | ช่าง   |     | engineer; artisan; mechanic; craftsman; specialist; repairman; barber
  401 | ช้าง   |     | elephant; pachyderm; Elephas maximus
  403 | ชาย   |     | male
  405 | ชาว   |     | folk; people; people of
  409 | ชีพ    |     | life; existence; living
  418 | โชค   |     | luck
  358 | จีน    |     | China; Chinese
  426 | ซีก    |     | section; piece; part; portion [as in the English prefix] hemi-
  433 | ดง    |     | jungle; thick grove
  447 | ดิน    |     | dirt; earth; soil; ground; land; kingdom; realm
  473 | ตรัส   |     | [as a king or royalty] to say; remark; speak; declare; pronounce
  440 | ดับ    |     | to eliminate, to stop; to die or pass away
  442 | ด้าน   |     | side; face; direction; quarter; sector; aspect; surface; field; viewpoint
  450 | ดุจ    |     | similar to, as if, as though
  454 | เดิม   |     | the origin; beginning; start
  461 | แดง   |     | [is] red
  464 | โดย   |     | by; via; the method; route; way or mode of attainment
  468 | ตน    |     | self; person; man; oneself
  469 | ต้น    |     | [a prefix used for plant or tree names] plant; stalk; trunk; tree
  497 | ต้าน   |     | to resist; oppose; stop; withstand; impede; hinder; [the prefix] anti-
  508 | ตึก    |     | building; brickwork; a brick structure
  516 | แตก   |     | to break; burst; shatter; smash; break in pieces; break out; blossom
  517 | แต่ง   |     | to adorn; decorate; beautify
  528 | ถวาย  |     | to give; offer; present
  537 | เถิด   |     | [a formal word placed after a verb or a sentence to mark or indicate an exhortation, a command or an entreaty] let's; let us; let's go for it; let's do it
  539 | แถว   |     | [of objects] a row; column; file; line; bank; queue
  838 | แพ้    |     | be defeated (by); to lose (to); to fail
  785 | พระ   |     | [a title of ancient Thai civil nobility between พระยา (Phraya) and หลวง  (Luang)]
  756 | ผู้     |     | person, human, one (who...); [Thai prefix corresponding to the English suffixes] '-er' or '-or'
  501 | ตาย   |     | [general] to die; be dead; perish; decease; expire; terminate; pass away; (car) stop (working)
  560 | ทัน    |     | to overtake; catch up with; be on time; be abreast of
  561 | ทับ    |     | to place on top of or overlay; superimpose; run over
  562 | ทัพ    |     | army; fighting forces; force; troops; armed forces
  566 | ทาน   |     | [formal, yet abbreviated] to eat
  568 | ทาบ   |     | to brace or splice with a long piece alongside
  569 | ทาย   |     | to foretell; prophesy; predict; guess
  571 | ท้าย   |     | at the back; at the end
  573 | ท้าว   |     | [title for a king or god]
  581 | ทุก    |     | every; each
  583 | ทุ่ง    |     | field; plain; pasture
  584 | ทูต    |     | ambassador; diplomat; emissary; envoy; attaché
  585 | ทูน    |     | to place in an elevated position; to respect; to revere; to worship; to esteem
  597 | แทน   |     | to subsitute; represent; replace
  600 | แทบ   |     | nearly; almost
  603 | ธง    |     | flag
  616 | นก    |     | bird
  577 | ทิ้ง    |     | to abandon; discard; throw away; to leave (an object) behind
  635 | นาง   |     | woman
  636 | นาน   |     | long time
  637 | นาม   |     | name; designation; appellation
  643 | นิ่ง    |     | [is] still; immobile; silent; motionless; quiet
  647 | นิ้ว    |     | finger; toe; digit
  650 | นึก    |     | to suppose, think or conjecture; to feel, ponder, harbor a feeling or doubt,
  658 | โน้น   |     | that one over there; a distant object
  660 | บก    |     | land; dry land; terra firma; high ground        
  661 | บท    |     | chapter of a book; lesson of a schoolbook; article in a magazine; verse; stanza
  670 | บัง    |     | to hide; to conceal; to block the view; to screen, share or shield; to obscure
  678 | บาน   |     | to bloom; open; blossom; unfold
  654 | แน่น   |     | [is] crowded; busy (restaurant, etc); tightly packed
  791 | พล    |     | power; force; strength; violence; military force
  796 | พลิก   |     | to turn over; to roll from side to side; to play tricks with; to twist
  801 | พัก    |     | to halt, lay-over, stop for the night, stay overnight at a place, to rest or relax, remain at a place temporarily
  807 | พาย   |     | to row; to paddle
  817 | พึง    |     | [written] should; ought; ought to
  818 | พึ่ง    |     | just now; a moment ago; recently
  819 | พืช    |     | plant; vegetation; fauna; seedling
  820 | พื้น    |     | ground; land; foundation
  823 | พุธ    |     | [general] Mercury
  826 | เพลิง  |     | fire; blaze; flame; conflagration
  827 | เพลิน  |     | to enjoy
  842 | ฟัก    |     | gourd; squash Cucurbita
  849 | ภัย    |     | harm; danger; catastrophe; fear; dread; peril
  850 | ภาค   |     | section, portion, part [I, II, III, etc., of a movie or novel], region, division, side, segment, share, period, time
  851 | ภาพ   |     | image; picture; drawing; vision
  853 | ภาย   |     | [referring to placement in space or time] location
  873 | มัก    |     | often; frequently; inclined towards; prone towards
  815 | พิษ    |     | poison; toxin; venom
  891 | เมฆ   |     | cloud
  917 | ยาม   |     | a guard, sentry, sentinel or night watchman
  919 | ย้าย   |     | to move or transfer
  920 | ยาว   |     | [of geometric length] [is] long
  928 | แยก   |     | intersection
  922 | ยิ่ง    |     | excessive; extreme
  930 | โยน   |     | to throw; pitch; cast; fling; hurl
  932 | รบ    |     | to go to war; to fight; to make war; to battle
  921 | ยิง    |     | to fire or shoot (a gun)
  255 | ข่าว   |     | news; tidings; information received; message
  953 | รัง    |     | nest; home
  959 | ราง   |     | groove; conduit; rail; track
  966 | ราย   |     | list of items; record; tally; story; account; item; statement; case
  967 | ร้าย   |     | [is] bad; very bad; fierce; cruel; harmful; evil; wild
  973 | รีบ    |     | to hurry
  974 | รุ่ง    |     | dawn; daybreak
  982 | เริ่ม   |     | to begin; to start; commence
  992 | แรง   |     | [is] strong; powerful; energetic; having energy; hard
  993 | โรค   |     | disease; sickness; case
  979 | รูป    |     | shape; form; contour; appearance; similarity-to
 1005 | ล้ม    |     | to fall down
 1007 | ล่วง   |     | to exceed; overstep; pass; to go beyond
 1008 | ล้วน   |     | [is] pure; absolute; pristine
  286 | ครั้น   |     | when (something occurs); if (something happened)
 1020 | ลาก   |     | to drag; pull at; haul
 1022 | ล้าง   |     | to clean; wash; rinse
 1027 | ลิง    |     | monkey
 1029 | ลึก    |     | [is] deep
 1030 | ลืม    |     | to forget
 1031 | ลุก    |     | to rise; stand up; get up; arise
 1032 | ลุง    |     | uncle; elder uncle; elder brother of a parent; great uncle
 1033 | ลูก    |     | child; offspring; son or daughter [including figurative usage for certain ideas]
 1035 | เล่ม   |     | [of a book] a volume
 1037 | เลว   |     | [is] bad; inferior; worthless; base; vile
 1039 | เลิก   |     | to quit; to stop; to give up; cancel; suspend; discontinue; abolish; cease; exit
 1049 | แล้ง   |     | [is] dry
 1050 | แล่น   |     | to move; to run; to sail; to glide; to slide; to steam
 1053 | โลก   |     | the planet Earth
 1056 | วัง    |     | palace
 1071 | วิ่ง    |     | to run; <subject> runs
  407 | ชิง    |     | to snatch away, to wrest away from, to contest or compete for, to vie
 1017 | ลัก    |     | to steal; to pilfer; to pinch; to carry off
 1129 | สั้น    |     | [of length] [is] short; squat
 1134 | สาย   |     | wire; line; rope; string; strap; connection; tie
 1139 | สิ่ง    |     | [general term for] a thing; item
  492 | ตัด    |     | to cut; mow; trim; sever; hew; make (a suit); build (a road)
  567 | ท่าน   |     | [a respectful 2nd or 3rd person singular pronoun] you; he; she; him; her
 1097 | ส้ม    |     | [general] orange; citrus; orange color
 1114 | สว่าง  |     | [is] bright; shining; illuminated
 1123 | สัก    |     | to tattoo
 1147 | สืบ    |     | to search for the facts; to investigate; to detect; to trace; to track
 1149 | สุข    |     | happiness; content; bliss; pleasure
 1164 | แสง   |     | light; ray; light ray; beam of light
 1171 | หญิง   |     | female
 1176 | หนัง   |     | cinema; film; movie
 1183 | หนุ่ม   |     | teenage male; young man; adolescent
 1193 | หมาย  |     | warrant; notice; order; point; writ; summons; decree
 1195 | หมุน   |     | to dial; turn; revolve; spin; rotate; whirl
 1200 | หยาบ  |     | [is] crude; coarse; rough; rugged
 1204 | หลวง  |     | [is] royal; of the court; superior; official; great
 1206 | หลัก   |     | post; pillar; pole; stake; lingam
 1211 | หลาย  |     | several; numerous; a variety; many; sundry; diverse; [the prefix] "multi-"
 1213 | หลุม   |     | hole; hole in the ground; pit
 1214 | หวัง   |     | to hope; to expect; to want
 1216 | หัก    |     | to break; be broken off; reflect; tax
 1219 | หัน    |     | to turn oneself around; to face in a direction
 1222 | หาง   |     | tail
 1223 | ห่าง   |     | [is] distant; far from; far away; far apart
 1224 | ห้าม   |     | [is] forbidden; taboo; prohibited; banned
 1225 | หาย   |     | to disappear; lose; lost; be missing
  624 | นัก    |     | [word used before a verb or noun to describe a profession] person who; enthusiast; devotee; expert
  651 | นุ่ง    |     | to dress; don; put on; wear clothing; to get dressed; attire; clothe; garb; robe; slip on or into
  971 | ริม    |     | edge; rim; banks (of a river or canal)
  929 | แย่ง   |     | to catch; to seize; to scramble for; contend for; compete for; wrest
  960 | ร่าง   |     | shape; figure; body; outline; form
 1006 | ลวง   |     | to deceive; to gull; to dupe; to impose upon by craftiness or guile; to lure; entice or tempt into some snare or trap
 1153 | เส้น   |     | geometric line; string; filament; thread; rope; cord; route or routing; ply
 1209 | หลับ   |     | to shut; sleep; to be asleep; go to bed
 1217 | หัด    |     | to train; practice; drill or exercise; make proficient; learn to
  491 | ตั้ง    |     | to decree; lay down; formulate (laws, rules, regulations, questions)
  769 | ฝาก   |     | to deposit; leave; entrust (something); consign
  679 | บ้าน   |     | house; home; place (or one's place); village
  696 | แบบ   |     | plan; kind; design; pattern; style; model; type; [formal term officially endorsed by the Royal Institute] version (of software)
  680 | บ่าย   |     | afternoon hours between 00 p.m. and 00 p.m.
  684 | บุญ    |     | good deeds; merit
  694 | แบ่ง   |     | to share; divide into parts; apportion
  695 | แบน   |     | [is] flat
  725 | ปวง   |     | in general; as a group; taken together
  729 | ปั้น    |     | to mold; form; fabricate
  732 | ปิด    |     | to close; turn off; to shut
  741 | แปลก  |     | [is] strange; unusual; queer; weird; peculiar; odd; curious
  742 | แปลง  |     | plot of land; flower bed; field
  744 | โปรด  |     | [a formal word of request] "please"
  749 | ผล    |     | fruit
  750 | ผสม   |     | to combine; mix
  752 | ผ่าน   |     | to cross; pass; pass by; pass through
  753 | ผิด    |     | [is] incorrect; wrong; mistaken; false; faulty; guilty
  754 | ผิว    |     | skin; complexion; surface
  757 | ผูก    |     | to bind; tie; attach
  761 | แผน   |     | plan; pattern; scheme; project; model
  762 | แผ่น   |     | sheet; tablet; plank; strip; piece
  765 | ฝรั่ง   |     | non-Asian foreigner, [usually] Caucasian [see notes]
  766 | ฝัก    |     | hull; pod; sheath; case; nutshell
  767 | ฝัง    |     | to bury; inter; put in the ground; implant
  770 | ฝ่าย   |     | side; party; faction; group
  771 | ฝึก    |     | to drill; to train; to practice; to exercise; to teach
  774 | พ้น    |     | to pass by; to be beyond; to be clear of
  724 | ปลูก   |     | to cultivate; to plant; build; to grow a plant
 1075 | เว้น   |     | to exclude; omit; skip over
 1068 | วาง   |     | to lay down; to put down; to put on (airs); to deposit; to place; to set down
 1080 | ส่ง    |     | to ship; send or deliver (mail or parcel or package); emit
 1212 | หลีก   |     | to avoid; evade; dodge; get out of the way
  338 | จริต   |     | behavior; conduct; act (outward act)
  533 | ถาม   |     | to ask (a question); to inquire; to quiz; to interrogate
  723 | ปลาบ  |     | [is] thrilling; flashing; shining
  907 | ยก    |     | to raise; to hoist (up); to revoke; to advance; to abolish; to elevate; to lift; to erect
 1314 | ไม    |     | prefix with no particular meaning
 1313 | ไหร่   |     | suffix making a question word
(344 rows)

